date,FELONY,MISDEMEANOR,VIOLATION,total
2007-10-04,485,944,223,1652
2007-10-05,559,1014,213,1786
2007-10-06,453,920,168,1541
2007-10-07,423,828,186,1437
2007-10-08,384,718,165,1267
2007-10-09,479,945,175,1599
2007-10-10,521,947,188,1656
2007-10-11,485,809,174,1468
2007-10-12,539,919,193,1651
2007-10-13,432,901,180,1513
2007-10-14,368,774,172,1314
2007-10-15,435,796,212,1443
2007-10-16,488,850,192,1530
2007-10-17,523,943,177,1643
2007-10-18,523,931,203,1657
2007-10-19,524,904,198,1626
2007-10-20,509,960,222,1691
2007-10-21,453,829,179,1461
2007-10-22,422,873,218,1513
2007-10-23,572,953,225,1750
2007-10-24,508,793,188,1489
2007-10-25,478,918,185,1581
2007-10-26,525,856,181,1562
2007-10-27,478,816,168,1462
2007-10-28,419,731,143,1293
2007-10-29,427,702,178,1307
2007-10-30,476,840,180,1496
2007-10-31,543,908,199,1650
2007-11-01,629,1052,223,1904
2007-11-02,521,910,197,1628
2007-11-03,445,842,172,1459
2007-11-04,386,772,170,1328
2007-11-05,468,763,194,1425
2007-11-06,470,739,131,1340
2007-11-07,461,798,172,1431
2007-11-08,500,810,165,1475
2007-11-09,543,839,175,1557
2007-11-10,460,822,151,1433
2007-11-11,389,758,137,1284
2007-11-12,380,713,149,1242
2007-11-13,496,848,186,1530
2007-11-14,471,827,182,1480
2007-11-15,501,864,161,1526
2007-11-16,498,885,165,1548
2007-11-17,447,822,150,1419
2007-11-18,398,765,166,1329
2007-11-19,425,698,154,1277
2007-11-20,477,767,151,1395
2007-11-21,530,895,165,1590
2007-11-22,284,533,159,976
2007-11-23,464,775,141,1380
2007-11-24,416,757,152,1325
2007-11-25,382,699,163,1244
2007-11-26,458,662,176,1296
2007-11-27,477,854,178,1509
2007-11-28,471,796,183,1450
2007-11-29,486,767,161,1414
2007-11-30,540,902,169,1611
2007-12-01,547,906,145,1598
2007-12-02,337,620,134,1091
2007-12-03,490,742,155,1387
2007-12-04,454,734,167,1355
2007-12-05,462,745,174,1381
2007-12-06,475,810,146,1431
2007-12-07,568,857,169,1594
2007-12-08,426,804,157,1387
2007-12-09,369,684,151,1204
2007-12-10,453,739,180,1372
2007-12-11,486,794,190,1470
2007-12-12,537,800,174,1511
2007-12-13,453,679,145,1277
2007-12-14,506,835,189,1530
2007-12-15,483,891,175,1549
2007-12-16,366,572,132,1070
2007-12-17,438,648,178,1264
2007-12-18,490,834,173,1497
2007-12-19,482,717,176,1375
2007-12-20,530,859,164,1553
2007-12-21,614,836,196,1646
2007-12-22,503,726,145,1374
2007-12-23,394,745,130,1269
2007-12-24,464,628,145,1237
2007-12-25,301,527,148,976
2007-12-26,386,700,134,1220
2007-12-27,398,797,146,1341
2007-12-28,481,761,115,1357
2007-12-29,422,804,150,1376
2007-12-30,388,693,137,1218
2007-12-31,454,648,127,1229
2008-01-01,832,1237,198,2267
2008-01-02,388,713,159,1260
2008-01-03,406,741,170,1317
2008-01-04,501,910,164,1575
2008-01-05,500,870,162,1532
2008-01-06,392,714,177,1283
2008-01-07,465,798,180,1443
2008-01-08,521,884,184,1589
2008-01-09,456,882,158,1496
2008-01-10,515,948,221,1684
2008-01-11,519,989,157,1665
2008-01-12,428,914,174,1516
2008-01-13,386,828,131,1345
2008-01-14,395,801,195,1391
2008-01-15,455,848,178,1481
2008-01-16,458,854,179,1491
2008-01-17,449,897,178,1524
2008-01-18,493,1002,171,1666
2008-01-19,428,997,147,1572
2008-01-20,346,748,133,1227
2008-01-21,376,675,141,1192
2008-01-22,441,836,148,1425
2008-01-23,412,873,165,1450
2008-01-24,441,838,157,1436
2008-01-25,508,856,148,1512
2008-01-26,404,842,149,1395
2008-01-27,354,732,139,1225
2008-01-28,415,694,133,1242
2008-01-29,386,819,132,1337
2008-01-30,465,783,158,1406
2008-01-31,447,814,155,1416
2008-02-01,591,1027,170,1788
2008-02-02,465,921,150,1536
2008-02-03,400,812,155,1367
2008-02-04,431,702,159,1292
2008-02-05,453,827,169,1449
2008-02-06,458,896,182,1536
2008-02-07,420,884,167,1471
2008-02-08,506,992,184,1682
2008-02-09,410,859,153,1422
2008-02-10,310,697,133,1140
2008-02-11,330,646,154,1130
2008-02-12,393,643,133,1169
2008-02-13,402,686,132,1220
2008-02-14,422,782,163,1367
2008-02-15,522,1011,201,1734
2008-02-16,420,849,148,1417
2008-02-17,324,714,115,1153
2008-02-18,360,693,144,1197
2008-02-19,434,783,165,1382
2008-02-20,422,808,162,1392
2008-02-21,407,789,155,1351
2008-02-22,389,721,128,1238
2008-02-23,390,784,165,1339
2008-02-24,307,688,124,1119
2008-02-25,390,721,157,1268
2008-02-26,391,745,161,1297
2008-02-27,447,847,165,1459
2008-02-28,376,838,160,1374
2008-02-29,417,851,163,1431
2008-03-01,553,964,160,1677
2008-03-02,344,763,147,1254
2008-03-03,424,757,174,1355
2008-03-04,411,842,173,1426
2008-03-05,470,837,167,1474
2008-03-06,411,949,154,1514
2008-03-07,476,957,177,1610
2008-03-08,366,867,131,1364
2008-03-09,364,705,154,1223
2008-03-10,407,811,178,1396
2008-03-11,393,860,186,1439
2008-03-12,439,905,182,1526
2008-03-13,465,826,184,1475
2008-03-14,502,918,175,1595
2008-03-15,466,848,177,1491
2008-03-16,324,736,164,1224
2008-03-17,387,750,188,1325
2008-03-18,425,815,174,1414
2008-03-19,399,788,155,1342
2008-03-20,489,919,183,1591
2008-03-21,449,890,163,1502
2008-03-22,408,900,151,1459
2008-03-23,353,678,139,1170
2008-03-24,368,764,160,1292
2008-03-25,425,917,150,1492
2008-03-26,436,900,170,1506
2008-03-27,434,903,166,1503
2008-03-28,494,956,157,1607
2008-03-29,381,873,157,1411
2008-03-30,316,709,147,1172
2008-03-31,405,743,176,1324
2008-04-01,576,979,231,1786
2008-04-02,430,932,189,1551
2008-04-03,446,839,187,1472
2008-04-04,463,937,173,1573
2008-04-05,452,906,174,1532
2008-04-06,357,760,145,1262
2008-04-07,427,774,171,1372
2008-04-08,394,861,173,1428
2008-04-09,431,860,189,1480
2008-04-10,452,885,194,1531
2008-04-11,489,970,212,1671
2008-04-12,426,920,190,1536
2008-04-13,322,800,186,1308
2008-04-14,420,763,174,1357
2008-04-15,480,880,175,1535
2008-04-16,447,867,210,1524
2008-04-17,436,804,194,1434
2008-04-18,499,930,187,1616
2008-04-19,421,814,182,1417
2008-04-20,374,711,174,1259
2008-04-21,380,727,163,1270
2008-04-22,436,817,151,1404
2008-04-23,436,842,164,1442
2008-04-24,422,826,180,1428
2008-04-25,486,797,153,1436
2008-04-26,399,833,164,1396
2008-04-27,310,671,169,1150
2008-04-28,377,654,134,1165
2008-04-29,434,718,152,1304
2008-04-30,446,797,180,1423
2008-05-01,515,996,247,1758
2008-05-02,463,919,195,1577
2008-05-03,420,841,168,1429
2008-05-04,357,721,157,1235
2008-05-05,424,759,202,1385
2008-05-06,466,918,201,1585
2008-05-07,461,836,194,1491
2008-05-08,505,880,186,1571
2008-05-09,438,873,169,1480
2008-05-10,426,858,156,1440
2008-05-11,347,730,153,1230
2008-05-12,400,722,156,1278
2008-05-13,482,873,167,1522
2008-05-14,472,917,186,1575
2008-05-15,481,919,162,1562
